step,window,mse,tu,pocid
1,10,14.411155420115474,2.7685261318936716,0.48839071257005606
1,11,19.51311623946139,3.7456909412635153,0.48717948717948717
1,12,37.66335833247467,7.224041967162757,0.47794707297514033
1,13,103.97067786241271,19.92626626281216,0.4943820224719101
1,14,4308.264603930477,825.0284837822945,0.4891566265060241
1,15,610553.1901426557,116826.47530574707,0.5160771704180064
1,16,5261.9959028821295,1006.050549177914,0.501206757843926
1,17,200988.3395280911,38396.54638850212,0.49033816425120774
1,18,340.39740692079175,64.97663731307883,0.4802578565672844
1,19,104.33329639506869,19.899614703222248,0.4830645161290323
1,20,41.92049446881836,7.9891095746225425,0.4794188861985472
1,21,26.13302696070211,4.9763493488169335,0.4894991922455573
1,22,20.652452992280182,3.9295426867802616,0.49232012934519
1,23,19.361066860942675,3.680857664091343,0.4935275080906149
1,24,18.85090680445372,3.580968305912344,0.4842105263157895
1,25,16.27116053237367,3.088425704619679,0.49513776337115073
1,26,18.830718590346542,3.5713636960864115,0.48580697485806973
1,27,15.300416531220831,2.8994668807345163,0.48944805194805197
1,28,14.258569648899899,2.699841826804798,0.4930950446791227
1,29,14.13552923635848,2.67437240975096,0.4959349593495935
1,30,13.525922160433495,2.5569608566689626,0.4971521562245728
1,31,12.3459159579314,2.331990295233986,0.48778501628664495
1,32,11.429369726461964,2.157112899596766,0.49877750611246946
1,33,10.771058072241832,2.0312195178506625,0.49836867862969003
1,34,10.924756565084762,2.0585308089857106,0.49551020408163265
1,35,10.247424682497225,1.9293492981819718,0.5
1,36,9.994160910530443,1.8801572343838469,0.49141455437448894
1,37,9.25356754664539,1.7393815982457448,0.49345335515548283
1,38,9.090571554427656,1.707380688786076,0.4864864864864865
1,39,8.926383505662551,1.675193414854466,0.4926229508196721
1,40,9.281202669350726,1.740365036066216,0.49794913863822804
1,41,9.102544307404157,1.7054776033041072,0.49261083743842365
1,42,9.011186895413502,1.686978732357646,0.4913722267871816
1,43,9.007887424879248,1.684975092072732,0.4868421052631579
1,44,8.60575009920138,1.60844431503487,0.48641975308641977
1,45,8.518275892681036,1.5907928528392516,0.4950576606260296
1,46,8.673845458803033,1.6185111400799403,0.49546578730420443
1,47,8.644559081191153,1.6117135019557374,0.49587458745874585
1,48,8.475925537724049,1.5789860780259575,0.49463253509496286
1,49,8.394018681313048,1.5624416178351894,0.48760330578512395
1,50,8.314665273172833,1.546392430426493,0.48966087675765096
1,51,8.140222968046887,1.5127051273977523,0.4900662251655629
1,52,7.695420683137067,1.4288850667007191,0.4888152444076222
1,53,7.660250896465936,1.4212169304952422,0.48756218905472637
1,54,7.650250538061102,1.418184719242102,0.4871369294605809
1,55,7.365147582064353,1.3641915364208188,0.48421926910299
1,56,7.448660979875085,1.3785255834135577,0.48129675810473815
1,57,7.394039419888621,1.3672870232149976,0.48668885191347755
1,58,7.373628727604608,1.3623687392216224,0.4904246461282265
1,59,7.662663683388714,1.414618253792704,0.4875
1,60,7.62619524872024,1.4067174551383506,0.48623853211009177
1,61,7.609838981512296,1.4025217561481134,0.48998330550918195
1,62,7.448815865702319,1.3717117509150758,0.49122807017543857
1,63,7.390381371928698,1.3598546866344392,0.4891304347826087
1,64,7.356963311895525,1.352608328224969,0.49539748953974894
1,65,7.381127004651674,1.3559039983779688,0.4899497487437186
1,66,7.329240435863618,1.3452491318569781,0.49622799664710815
1,67,7.254196097132072,1.3303794295651612,0.4924496644295302
1,68,7.2138580951912274,1.321869603748684,0.4836272040302267
1,69,7.12215194303986,1.3039792330963471,0.4823529411764706
1,70,7.104297071839819,1.2996116273725813,0.4852817493692178
1,71,7.076120408701111,1.2933778637575966,0.4781144781144781
1,72,7.070657097873025,1.2912718768499816,0.4759898904802022
1,73,7.104925074020222,1.2965668780330102,0.4772344013490725
1,74,7.044517255620282,1.284478216103664,0.46919831223628694
1,75,6.978674228737687,1.2713776006363475,0.47550675675675674
1,76,6.9335291346463395,1.2621178167870795,0.4801352493660186
1,77,6.912036271245267,1.2571466754131755,0.4805414551607445
1,78,6.924186510557344,1.258287073285926,0.4792548687552921
1,79,6.952315313097704,1.2623356654884876,0.47627118644067795
1,80,6.913588074810937,1.2542317454603187,0.48346055979643765
1,81,6.935637529618942,1.257147624081102,0.47877758913412566
1,82,6.886255802825879,1.2471791302197421,0.47408666100254887
1,83,6.893369033046054,1.2474152551101476,0.47023809523809523
1,84,6.885113077068129,1.244862282740374,0.4757446808510638
1,85,6.834445534254948,1.2346536657570855,0.47614991482112434
1,86,6.859062670122128,1.2380499198689385,0.47655583972719523
1,87,6.880482939216826,1.2408635290791892,0.47952218430034127
1,88,6.882267652697743,1.2401609971047756,0.47993168232280103
1,89,6.874616723694647,1.2377228343841753,0.48205128205128206
1,90,6.8436266694082635,1.2310937400912731,0.48845166809238666
1,91,6.855009949392766,1.2320855987205284,0.4922945205479452
1,92,6.838732440284471,1.2281215170092934,0.48586118251928023
1,93,6.7666174123084435,1.2141240013928325,0.4854202401372213
1,94,6.7999320859979315,1.2190810770248874,0.4858369098712446
1,95,6.772841881000395,1.213182207152455,0.4896907216494845
1,96,6.760329813281426,1.209905895517105,0.49183147033533964
1,97,6.763320766754915,1.2094069747147758,0.4939759036144578
1,98,6.789528998848497,1.2130551542508652,0.49526270456503013
1,99,6.819711806180351,1.2173977185659521,0.4982758620689655
1,100,6.81889804990707,1.2162062407175918,0.4987057808455565
1,101,6.827781165220335,1.2167439933692692,0.49568221070811747
1,102,6.877739386169004,1.2245942831683443,0.5038893690579084
1,103,6.922876469136043,1.2315672681484204,0.5034602076124568
1,104,6.943370168235403,1.2341435710680537,0.5004329004329005
1,105,6.961133042914383,1.236236710592135,0.49740034662045063
1,106,6.997627116225192,1.2416491733462607,0.4978317432784042
1,107,6.976799842713166,1.236878623530816,0.4913194444444444
1,108,6.936088985052824,1.2285971943716458,0.4926151172893136
1,109,6.908261291106797,1.2226050597421647,0.48695652173913045
1,110,6.942470227709858,1.2275924945511518,0.48825065274151436
1,111,6.943138403151939,1.2266435755079452,0.4930313588850174
1,112,6.969529357948338,1.2302341025349521,0.4891020052310375
1,113,6.934328549558798,1.2229575313163803,0.4869109947643979
1,114,6.928796820088623,1.220916656747116,0.48995633187772925
1,115,6.932832824460208,1.2205618881217262,0.48426573426573427
1,116,6.927096386844686,1.2184860836283793,0.49081364829396323
1,117,6.937743025809704,1.2192971649727906,0.4851138353765324
1,118,7.057326155929077,1.2392282090454854,0.4758983347940403
1,119,7.052685225652487,1.237329078926383,0.47543859649122805
1,120,7.053099177877398,1.236319630336014,0.47673397717295873
1,121,7.037927448399388,1.2325797839633381,0.4727592267135325
1,122,7.0412034485820145,1.2320709364052667,0.47405452946350046
1,123,7.057285325827725,1.2338023582172355,0.4727112676056338
1,124,6.984651975125563,1.2200349963839583,0.47400881057268723
1,125,6.866004172226391,1.1982688335546519,0.4656084656084656
1,126,6.864659999060387,1.1969963840834197,0.4677846425419241
1,127,6.8568369448973545,1.1946248267975417,0.4717314487632509
1,128,6.8553998066025175,1.193329043883985,0.47303271441202477
1,129,6.8494351834338545,1.1912750186468133,0.4725663716814159
1,130,6.853426400894043,1.1909116611406163,0.479185119574845
1,131,6.8732674012690875,1.1933534350586117,0.47429078014184395
1,132,6.909156098959763,1.1985239450514036,0.4764862466725821
1,133,6.898018243155321,1.19552732362369,0.4786856127886323
1,134,6.900764674447146,1.1949536500261224,0.4746666666666667
1,135,6.870174520010265,1.18859758395699,0.4750889679715303
1,136,6.9053613129769325,1.1936205275762295,0.4755120213713268
1,137,6.8891063737268095,1.1897538593327306,0.47593582887700536
1,138,6.872312408477171,1.1858004932973216,0.47636039250669043
1,139,6.898041058222077,1.1891777290957628,0.475
1,140,6.870098080186684,1.1833029478085078,0.4736371760500447
1,141,6.860878354821468,1.1806603902739283,0.4740608228980322
1,142,6.8278763406201595,1.1739284057015564,0.4726947179946285
1,143,6.842378554083171,1.1753701629316262,0.47401433691756273
1,144,6.800848991592661,1.1671896423879202,0.4780269058295964
1,145,6.7754538034442655,1.1617895701596812,0.4748653500897666
1,146,6.783154995148222,1.1620687258573974,0.47349505840071876
1,147,6.798057491925864,1.1635789945650772,0.4739208633093525
1,148,6.790519166876134,1.1612517250342806,0.47254725472547254
1,149,6.7883571301766095,1.1598395121983487,0.47387387387387386
3,10,58.899166461096044,11.315123865674796,0.45876701361088873
3,11,35.01901534619648,6.722187509841007,0.49599358974358976
3,12,127.89016739093799,24.53004840589827,0.5268644747393745
3,13,2236.074801020984,428.55008004394256,0.478330658105939
3,14,120963403.35090917,23164374.41463594,0.4875502008032129
3,15,4.803382436242576e+18,9.191046012030406e+17,0.5136655948553055
3,16,1059143455.6446,202499575.9995414,0.4770716009654063
3,17,1006731219807281.0,192324600106250.22,0.4822866344605475
3,18,277597.0289734236,52989.07358826961,0.5076551168412571
3,19,1434.1167707137186,273.53081456115075,0.4959677419354839
3,20,107.73028948897702,20.530987578370418,0.4705407586763519
3,21,106.62788333663738,20.304491126041373,0.5008077544426495
3,22,101.58201135161215,19.328022384502646,0.4971705739692805
3,23,46.01858836194882,8.748893080712751,0.44983818770226536
3,24,53.031337949787044,10.07398057790816,0.4939271255060729
3,25,52.88199676268546,10.037531915935855,0.473257698541329
3,26,42.8395011713591,8.124779981313623,0.48499594484995945
3,27,34.93193309754282,6.619688051833116,0.5146103896103896
3,28,33.570005619892974,6.356437403423987,0.4890333062550772
3,29,37.28838227165688,7.054779524892669,0.49105691056910566
3,30,26.565818990258634,5.022043186075901,0.51586655817738
3,31,28.026844136678125,5.293930802217561,0.5138436482084691
3,32,28.179166497962616,5.318373583109571,0.4906275468622657
3,33,22.863957061878477,4.311714029362677,0.5244698205546493
3,34,23.175579081359682,4.366933846306511,0.4946938775510204
3,35,23.17650068889195,4.363619893609739,0.5008169934640523
3,36,21.08654629480697,3.9669199275926674,0.5134914145543745
3,37,18.75409689386764,3.5252218082281033,0.486088379705401
3,38,17.414888573760255,3.2708447026157508,0.48894348894348894
3,39,16.959723963460107,3.1828079187343596,0.5204918032786885
3,40,18.807925614758123,3.526776940943003,0.49876948318293685
3,41,16.483512337648595,3.088399484034292,0.47126436781609193
3,42,17.931265092061015,3.3569011008060476,0.5094494658997535
3,43,16.564817824194357,3.0985479708204853,0.5008223684210527
3,44,15.647613269213005,2.9245970795119938,0.4872427983539095
3,45,17.46346559627514,3.2613121263544604,0.5238879736408567
3,46,14.92549920872742,2.7850504913419423,0.4888705688375927
3,47,15.890407913886046,2.9626522929988894,0.49504950495049505
3,48,16.8774351164589,3.144117720593456,0.5127993393889347
3,49,14.215185235826125,2.645981391385093,0.48760330578512395
3,50,15.329459807095324,2.8510364477316728,0.48966087675765096
3,51,16.13067473807286,2.9975926447301897,0.5115894039735099
3,52,12.44970927447896,2.311686148449542,0.4871582435791218
