step,window,regressor,parameter,mse,pocid
1,10,AutoRegression,[],14.411155420115474,0.48839071257005606
1,11,AutoRegression,[],19.51311623946139,0.48717948717948717
1,12,AutoRegression,[],37.66335833247467,0.47794707297514033
1,13,AutoRegression,[],103.97067786241271,0.4943820224719101
1,14,AutoRegression,[],4308.264603930477,0.4891566265060241
1,15,AutoRegression,[],610553.1901426557,0.5160771704180064
1,16,AutoRegression,[],5261.9959028821295,0.501206757843926
1,17,AutoRegression,[],200988.3395280911,0.49033816425120774
1,18,AutoRegression,[],340.39740692079175,0.4802578565672844
1,19,AutoRegression,[],104.33329639506869,0.4830645161290323
1,20,AutoRegression,[],41.92049446881836,0.4794188861985472
1,21,AutoRegression,[],26.13302696070211,0.4894991922455573
1,22,AutoRegression,[],20.652452992280182,0.49232012934519
1,23,AutoRegression,[],19.361066860942675,0.4935275080906149
1,24,AutoRegression,[],18.85090680445372,0.4842105263157895
1,25,AutoRegression,[],16.27116053237367,0.49513776337115073
1,26,AutoRegression,[],18.830718590346542,0.48580697485806973
1,27,AutoRegression,[],15.300416531220831,0.48944805194805197
1,28,AutoRegression,[],14.258569648899899,0.4930950446791227
1,29,AutoRegression,[],14.13552923635848,0.4959349593495935
1,30,AutoRegression,[],13.525922160433495,0.4971521562245728
1,31,AutoRegression,[],12.3459159579314,0.48778501628664495
1,32,AutoRegression,[],11.429369726461964,0.49877750611246946
1,33,AutoRegression,[],10.771058072241832,0.49836867862969003
1,34,AutoRegression,[],10.924756565084762,0.49551020408163265
1,35,AutoRegression,[],10.247424682497225,0.5
1,36,AutoRegression,[],9.994160910530443,0.49141455437448894
1,37,AutoRegression,[],9.25356754664539,0.49345335515548283
1,38,AutoRegression,[],9.090571554427656,0.4864864864864865
1,39,AutoRegression,[],8.926383505662551,0.4926229508196721
1,40,AutoRegression,[],9.281202669350726,0.49794913863822804
1,41,AutoRegression,[],9.102544307404157,0.49261083743842365
1,42,AutoRegression,[],9.011186895413502,0.4913722267871816
1,43,AutoRegression,[],9.007887424879248,0.4868421052631579
1,44,AutoRegression,[],8.60575009920138,0.48641975308641977
1,45,AutoRegression,[],8.518275892681036,0.4950576606260296
1,46,AutoRegression,[],8.673845458803033,0.49546578730420443
1,47,AutoRegression,[],8.644559081191153,0.49587458745874585
1,48,AutoRegression,[],8.475925537724049,0.49463253509496286
1,49,AutoRegression,[],8.394018681313048,0.48760330578512395
1,50,AutoRegression,[],8.314665273172833,0.48966087675765096
1,51,AutoRegression,[],8.140222968046887,0.4900662251655629
1,52,AutoRegression,[],7.695420683137067,0.4888152444076222
1,53,AutoRegression,[],7.660250896465936,0.48756218905472637
1,54,AutoRegression,[],7.650250538061102,0.4871369294605809
1,55,AutoRegression,[],7.365147582064353,0.48421926910299
1,56,AutoRegression,[],7.448660979875085,0.48129675810473815
1,57,AutoRegression,[],7.394039419888621,0.48668885191347755
1,58,AutoRegression,[],7.37362872760475,0.4904246461282265
1,59,AutoRegression,[],7.662663683388714,0.4875
1,60,AutoRegression,[],7.62619524872024,0.48623853211009177
1,61,AutoRegression,[],7.609838981512296,0.48998330550918195
1,62,AutoRegression,[],7.448815865702319,0.49122807017543857
1,63,AutoRegression,[],7.390381371928698,0.4891304347826087
1,64,AutoRegression,[],7.356963311895525,0.49539748953974894
1,65,AutoRegression,[],7.381127004651674,0.4899497487437186
1,66,AutoRegression,[],7.329240435863618,0.49622799664710815
1,67,AutoRegression,[],7.254196097132072,0.4924496644295302
1,68,AutoRegression,[],7.2138580951912274,0.4836272040302267
1,69,AutoRegression,[],7.12215194303986,0.4823529411764706
1,70,AutoRegression,[],7.104297071839819,0.4852817493692178
1,71,AutoRegression,[],7.076120408701111,0.4781144781144781
1,72,AutoRegression,[],7.070657097873025,0.4759898904802022
1,73,AutoRegression,[],7.104925074020222,0.4772344013490725
1,74,AutoRegression,[],7.044517255620282,0.46919831223628694
1,75,AutoRegression,[],6.978674228737687,0.47550675675675674
1,76,AutoRegression,[],6.9335291346466486,0.4801352493660186
1,77,AutoRegression,[],6.912036271245146,0.4805414551607445
1,78,AutoRegression,[],6.924186510557279,0.4792548687552921
1,79,AutoRegression,[],6.952315313097565,0.47627118644067795
1,80,AutoRegression,[],6.913588074811092,0.48346055979643765
1,81,AutoRegression,[],6.9356375296184645,0.47877758913412566
1,82,AutoRegression,[],6.886255802825962,0.47408666100254887
1,83,AutoRegression,[],6.893369033045831,0.47023809523809523
1,84,AutoRegression,[],6.885113077067659,0.4757446808510638
1,85,AutoRegression,[],6.83444553425519,0.47614991482112434
1,86,AutoRegression,[],6.8590626701218875,0.47655583972719523
1,87,AutoRegression,[],6.880482939216558,0.47952218430034127
1,88,AutoRegression,[],6.882267652697774,0.47993168232280103
1,89,AutoRegression,[],6.87461672369407,0.48205128205128206
1,90,AutoRegression,[],6.843626669408304,0.48845166809238666
1,91,AutoRegression,[],6.855009949392695,0.4922945205479452
1,92,AutoRegression,[],6.838732440284872,0.48586118251928023
1,93,AutoRegression,[],6.766617412309002,0.4854202401372213
1,94,AutoRegression,[],6.799932085997994,0.4858369098712446
1,95,AutoRegression,[],6.772841881000747,0.4896907216494845
1,96,AutoRegression,[],6.760329813281386,0.49183147033533964
1,97,AutoRegression,[],6.763320766754999,0.4939759036144578
1,98,AutoRegression,[],6.789528998848689,0.49526270456503013
1,99,AutoRegression,[],6.8197118061804645,0.4982758620689655
1,100,AutoRegression,[],6.818898049907457,0.4987057808455565
1,101,AutoRegression,[],6.827781165220457,0.49568221070811747
1,102,AutoRegression,[],6.877739386169647,0.5038893690579084
1,103,AutoRegression,[],6.922876469136264,0.5034602076124568
1,104,AutoRegression,[],6.943370168235651,0.5004329004329005
1,105,AutoRegression,[],6.961133042914641,0.49740034662045063
1,106,AutoRegression,[],6.997627116225291,0.4978317432784042
1,107,AutoRegression,[],6.976799842712927,0.4913194444444444
1,108,AutoRegression,[],6.936088985052509,0.4926151172893136
1,109,AutoRegression,[],6.9082612911069905,0.48695652173913045
1,110,AutoRegression,[],6.942470227710085,0.48825065274151436
1,111,AutoRegression,[],6.943138403152054,0.4930313588850174
1,112,AutoRegression,[],6.969529357947941,0.4891020052310375
1,113,AutoRegression,[],6.934328549559201,0.4869109947643979
1,114,AutoRegression,[],6.928796820089319,0.48995633187772925
1,115,AutoRegression,[],6.932832824459742,0.48426573426573427
1,116,AutoRegression,[],6.927096386844566,0.49081364829396323
1,117,AutoRegression,[],6.93774302580963,0.4851138353765324
1,118,AutoRegression,[],7.0573261559292035,0.4758983347940403
1,119,AutoRegression,[],7.0526852256523735,0.47543859649122805
1,120,AutoRegression,[],7.053099177877455,0.47673397717295873
1,121,AutoRegression,[],7.037927448400082,0.4727592267135325
1,122,AutoRegression,[],7.041203448582293,0.47405452946350046
1,123,AutoRegression,[],7.057285325827599,0.4727112676056338
1,124,AutoRegression,[],6.98465197512606,0.47400881057268723
1,125,AutoRegression,[],6.866004172225531,0.4656084656084656
1,126,AutoRegression,[],6.864659999060847,0.4677846425419241
1,127,AutoRegression,[],6.856836944896844,0.4717314487632509
1,128,AutoRegression,[],6.855399806602915,0.47303271441202477
1,129,AutoRegression,[],6.849435183433499,0.4725663716814159
1,130,AutoRegression,[],6.853426400893555,0.479185119574845
1,131,AutoRegression,[],6.873267401268951,0.47429078014184395
1,132,AutoRegression,[],6.909156098958828,0.4764862466725821
1,133,AutoRegression,[],6.89801824315609,0.4786856127886323
1,134,AutoRegression,[],6.9007646744474025,0.4746666666666667
1,135,AutoRegression,[],6.8701745200098285,0.4750889679715303
1,136,AutoRegression,[],6.905361312976596,0.4755120213713268
1,137,AutoRegression,[],6.889106373726954,0.47593582887700536
1,138,AutoRegression,[],6.872312408477085,0.47636039250669043
1,139,AutoRegression,[],6.89804105822227,0.475
1,140,AutoRegression,[],6.870098080186473,0.4736371760500447
1,141,AutoRegression,[],6.860878354821333,0.4740608228980322
1,142,AutoRegression,[],6.827876340620101,0.4726947179946285
1,143,AutoRegression,[],6.842378554083271,0.47401433691756273
1,144,AutoRegression,[],6.80084899159236,0.4780269058295964
1,145,AutoRegression,[],6.775453803444245,0.4748653500897666
1,146,AutoRegression,[],6.783154995148524,0.47349505840071876
1,147,AutoRegression,[],6.798057491925501,0.4739208633093525
1,148,AutoRegression,[],6.790519166875979,0.47254725472547254
1,149,AutoRegression,[],6.788357130176785,0.47387387387387386
