step,window,regressor,parameter,mse,pocid
1,10,AutoRegression,[],1286.4583890772128,0.49799839871897517
1,11,AutoRegression,[],2978.748508828916,0.5104166666666666
1,12,AutoRegression,[],4754.032515035781,0.5068163592622293
1,13,AutoRegression,[],25936.10178413169,0.5048154093097913
1,14,AutoRegression,[],5006587.144093817,0.5293172690763053
1,15,AutoRegression,[],23356286.44882117,0.5209003215434084
1,16,AutoRegression,[],4123847.559101549,0.498793242156074
1,17,AutoRegression,[],1928739.148679091,0.4806763285024155
1,18,AutoRegression,[],36064.29673339376,0.49073327961321517
1,19,AutoRegression,[],15325.97171577601,0.5153225806451613
1,20,AutoRegression,[],6648.394443993927,0.5125100887812752
1,21,AutoRegression,[],3873.0343325980953,0.5088852988691438
1,22,AutoRegression,[],2389.795684884909,0.52303961196443
1,23,AutoRegression,[],2014.884481687297,0.5072815533980582
1,24,AutoRegression,[],1664.1124563498363,0.5028340080971659
1,25,AutoRegression,[],1461.770931361348,0.5153970826580226
1,26,AutoRegression,[],1843.544643374997,0.5020275750202757
1,27,AutoRegression,[],1622.650606320236,0.5178571428571429
1,28,AutoRegression,[],1522.2931208002078,0.511779041429732
1,29,AutoRegression,[],1318.814902916114,0.5089430894308943
1,30,AutoRegression,[],1272.486078931626,0.51586655817738
1,31,AutoRegression,[],1170.7988967539336,0.5130293159609121
1,32,AutoRegression,[],1088.152773681517,0.5012224938875306
1,33,AutoRegression,[],1001.2514349404256,0.5122349102773246
1,34,AutoRegression,[],947.5836637619137,0.5151020408163265
1,35,AutoRegression,[],947.9748336221489,0.5196078431372549
1,36,AutoRegression,[],875.1892070542937,0.5118560915780866
1,37,AutoRegression,[],829.1523581711718,0.5130932896890343
1,38,AutoRegression,[],791.0883629754844,0.5151515151515151
1,39,AutoRegression,[],771.9804410260388,0.5065573770491804
1,40,AutoRegression,[],819.1139910971131,0.5118949958982772
1,41,AutoRegression,[],798.1710827436946,0.5172413793103449
1,42,AutoRegression,[],777.6809136462352,0.5168447000821693
1,43,AutoRegression,[],763.2433413995159,0.5263157894736842
1,44,AutoRegression,[],750.6528016204429,0.5234567901234568
1,45,AutoRegression,[],733.7268001712296,0.514003294892916
1,46,AutoRegression,[],727.0073111321568,0.5218466611706513
1,47,AutoRegression,[],715.2357332980371,0.5222772277227723
1,48,AutoRegression,[],694.8919859617375,0.5136251032204789
1,49,AutoRegression,[],693.4648363266534,0.5148760330578512
1,50,AutoRegression,[],689.4907168968974,0.511166253101737
1,51,AutoRegression,[],683.2131059652884,0.5033112582781457
1,52,AutoRegression,[],672.1962935964513,0.507870753935377
1,53,AutoRegression,[],672.4354484761051,0.5066334991708126
1,54,AutoRegression,[],660.9015305323828,0.5070539419087137
1,55,AutoRegression,[],662.021573996613,0.5141196013289037
1,56,AutoRegression,[],666.3952121375884,0.5120532003325021
1,57,AutoRegression,[],663.4299496179543,0.5091514143094842
1,58,AutoRegression,[],655.6113245854721,0.5104079933388843
1,59,AutoRegression,[],692.4909795637814,0.5091666666666667
1,60,AutoRegression,[],685.1740360397756,0.5079232693911593
1,61,AutoRegression,[],676.1280086778708,0.5158597662771286
1,62,AutoRegression,[],667.9811169007743,0.506265664160401
1,63,AutoRegression,[],661.4658961819237,0.5025083612040134
1,64,AutoRegression,[],656.1728259727729,0.497907949790795
1,65,AutoRegression,[],647.0371696731545,0.5108877721943048
1,66,AutoRegression,[],640.3994760482849,0.5088013411567477
1,67,AutoRegression,[],633.4805050424393,0.5092281879194631
1,68,AutoRegression,[],632.6970123293804,0.5062972292191436
1,69,AutoRegression,[],632.2406733980671,0.5042016806722689
1,70,AutoRegression,[],627.6007782446159,0.5029436501261564
1,71,AutoRegression,[],619.9591972722076,0.5025252525252525
1,72,AutoRegression,[],609.0775141167851,0.5046335299073293
1,73,AutoRegression,[],606.7354028928995,0.5101180438448567
1,74,AutoRegression,[],593.3811479699679,0.5113924050632911
1,75,AutoRegression,[],592.4517902347264,0.5084459459459459
1,76,AutoRegression,[],588.2811012211012,0.5063398140321217
1,77,AutoRegression,[],582.1693156317552,0.511844331641286
1,78,AutoRegression,[],581.776303843354,0.5139712108382727
1,79,AutoRegression,[],580.9942592174992,0.5152542372881356
